Symbol,Name,Industry
2001.T,Nippn Corp,식품 가공
2002.T,Nisshin Seifun Group Inc,식품 가공
2003.T,Nitto Fuji Flour Milling Co Ltd,식품 가공
2004.T,Showa Sangyo Co Ltd,식품 가공
2009.T,Torigoe Co Ltd,식품 가공
203A.T,Shunbin Co Ltd,경영 지원 서비스
204A.T,TaiyoPackage Co Ltd,종이 포장재
2053.T,Chubushiryo Co Ltd,어업 및 농업
2055.T,Nichiwa Sangyo Co Ltd,어업 및 농업
205A.T,Logos Holdings Inc,"부동산 임대, 개발 및 운영"
2060.T,Feed One Co Ltd,어업 및 농업
206A.T,PRISM BioLab Co Ltd,생명 공학 및 의학 연구
207A.T,Rising Corp Inc,주택 건설
208A.T,Kozo Keikaku Engineering Holdings Inc,소프트웨어
209A.T,Onodani Machine Co Ltd,산업용 기계 및 장비
2108.T,Nippon Beet Sugar Manufacturing Co Ltd,식품 가공
2109.T,Mitsui DM Sugar Co Ltd,식품 가공
2112.T,Ensuiko Sugar Refining Co Ltd,식품 가공
2114.T,Fuji Nihon Corp,식품 가공
2117.T,Wellneo Sugar Co Ltd,식품 가공
211A.T,Cados Corp,"부동산 임대, 개발 및 운영"
2120.T,LIFULL Co Ltd,온라인 서비스
2121.T,MIXI Inc,온라인 서비스
2122.T,Interspace Co Ltd,광고 및 마케팅
2124.T,JAC Recruitment Co Ltd,고용 서비스
2127.T,Nihon M&A Center Holdings Inc,경영 지원 서비스
212A.T,Fit Easy Inc,여가 및 오락시설
2130.T,Members Co Ltd,IT 서비스 및 컨설팅
2134.T,Kitahama Capital Partners Co Ltd,투자 관리 및 펀드 운영
2136.T,HIP Corp,고용 서비스
2138.T,Crooz Inc,백화점
2139.T,Chuco Co Ltd,광고 및 마케팅
2146.T,UT Group Co Ltd,고용 서비스
2148.T,ITmedia Inc,온라인 서비스
2152.T,Youji Corp,기타 교육 서비스 제공
2153.T,E J Holdings Inc,건설 및 엔지니어링
2154.T,Open Up Group Inc,고용 서비스
2156.T,Saylor Advertising Inc,광고 및 마케팅
2157.T,Koshidaka Holdings Co Ltd,여가 및 오락시설
2158.T,FRONTEO Inc,IT 서비스 및 컨설팅
215A.T,Timee Inc,고용 서비스
2160.T,GNI Group Ltd,생명 공학 및 의학 연구
2162.T,nms Holdings Corp,전자 장비 및 부품
2163.T,Artner Co Ltd,고용 서비스
2164.T,Chiikishinbunsha Co Ltd,소비자 출판
2168.T,Pasona Group Inc,고용 서비스
2169.T,CDS Co Ltd,IT 서비스 및 컨설팅
216A.T,Life Create Co Ltd,기타 전문 소매
2170.T,Link and Motivation Inc,고용 서비스
2173.T,Hakuten Corp,경영 지원 서비스
2175.T,SMS Co Ltd,고용 서비스
2179.T,Seigakusha Co Ltd,기타 교육 서비스 제공
217A.T,Support Co Ltd,건설 및 엔지니어링
2180.T,Sunny Side Up Group Inc,광고 및 마케팅
2181.T,Persol Holdings Co Ltd,고용 서비스
2183.T,Linical Co Ltd,생명 공학 및 의학 연구
2185.T,CMC Corp,광고 및 마케팅
2186.T,Sobal Corp,IT 서비스 및 컨설팅
218A.T,Liberaware Co Ltd,IT 서비스 및 컨설팅
2193.T,Cookpad Inc,온라인 서비스
2195.T,Amita Holdings Co Ltd,환경 서비스 및 장비
2198.T,IKK Holdings Inc,개인 서비스
219A.T,Heartseed Inc,생명 공학 및 의학 연구
2201.T,Morinaga & Co Ltd,식품 가공
2204.T,Nakamuraya Co Ltd,식품 가공
2206.T,Ezaki Glico Co Ltd,식품 가공
2207.T,Meito Co Ltd,식품 가공
2208.T,Bourbon Corp,식품 가공
2209.T,Imuraya Group Co Ltd,식품 가공
220A.T,Faber Company Inc,IT 서비스 및 컨설팅
2211.T,Fujiya Co Ltd,식품 가공
2212.T,Yamazaki Baking Co Ltd,식품 가공
2215.T,First Baking Co Ltd,식품 가공
2216.T,Kanro Inc,식품 가공
2217.T,Morozoff Ltd,식품 가공
2220.T,Kameda Seika Co Ltd,식품 가공
2221.T,Iwatsuka Confectionery Co Ltd,식품 가공
2222.T,Kotobuki Spirits Co Ltd,식품 가공
2224.T,Como Co Ltd,식품 가공
2226.T,Koike-Ya Inc,식품 가공
2229.T,Calbee Inc,식품 가공
222A.T,Nippon Information Control System Inc,IT 서비스 및 컨설팅
2264.T,Morinaga Milk Industry Co Ltd,식품 가공
2266.T,Rokko Butter Co Ltd,식품 가공
2267.T,Yakult Honsha Co Ltd,식품 가공
2268.T,B-R 31 Ice Cream Co Ltd,레스토랑 및 바
2269.T,Meiji Holdings Co Ltd,식품 가공
226A.T,Katsu Mi Japan Inc,식품 소매 및 유통
2270.T,Megmilk Snow Brand Co Ltd,식품 가공
227A.T,Insight Lab Inc,IT 서비스 및 컨설팅
2281.T,Prima Meat Packers Ltd,식품 가공
2282.T,NH Foods Ltd,식품 가공
2286.T,Hayashikane Sangyo Co Ltd,어업 및 농업
2288.T,Marudai Food Co Ltd,식품 가공
228A.T,OPRO Co Ltd,소프트웨어
2291.T,Fukutome Meat Packers Ltd,식품 가공
2292.T,S Foods Inc,식품 가공
2293.T,Takizawa Ham Co Ltd,식품 가공
2294.T,Kakiyasu Honten Co Ltd,식품 가공
2296.T,Itoham Yonekyu Holdings Inc,식품 가공
229A.T,Asumi HD Inc,건설 및 엔지니어링
2300.T,Kyokuto Co Ltd,개인 서비스
2301.T,Gakujo Co Ltd,고용 서비스
2303.T,Dawn Corp,소프트웨어
2304.T,CSS Holdings Ltd,엔터테인먼트 제작
2305.T,Studio Alice Co Ltd,개인 서비스
2307.T,Cross Cat Co Ltd,IT 서비스 및 컨설팅
2311.T,EPCO Co Ltd,건설 및 엔지니어링
2315.T,Caica Digital Inc,IT 서비스 및 컨설팅
2317.T,Systena Corp,IT 서비스 및 컨설팅
