Symbol,Name,Industry
1101.TW,台泥,01
1102.TW,亞泥,01
1103.TW,嘉泥,01
1104.TW,環泥,01
1108.TW,幸福,01
1109.TW,信大,01
1110.TW,東泥,01
1201.TW,味全,02
1203.TW,味王,02
1210.TW,大成,02
1213.TW,大飲,02
1215.TW,卜蜂,02
1216.TW,統一,02
1217.TW,愛之味,02
1218.TW,泰山,02
1219.TW,福壽,02
1220.TW,台榮,02
1225.TW,福懋油,02
1227.TW,佳格,02
1229.TW,聯華,02
1231.TW,聯華食,02
1232.TW,大統益,02
1233.TW,天仁,02
1234.TW,黑松,02
1235.TW,興泰,02
1236.TW,宏亞,02
1256.TW,鮮活果汁-KY,02
1301.TW,台塑,03
1303.TW,南亞,03
1304.TW,台聚,03
1305.TW,華夏,03
1307.TW,三芳,03
1308.TW,亞聚,03
1309.TW,台達化,03
1310.TW,台苯,03
1312.TW,國喬,03
1313.TW,聯成,03
1314.TW,中石化,03
1315.TW,達新,03
1316.TW,上曜,14
1319.TW,東陽,12
1321.TW,大洋,03
1323.TW,永裕,03
1324.TW,地球,03
1325.TW,恆大,03
1326.TW,台化,03
1337.TW,再生-KY,03
1338.TW,廣華-KY,12
1339.TW,昭輝,12
1340.TW,勝悅-KY,03
1341.TW,富林-KY,03
1342.TW,八貫,20
1402.TW,遠東新,04
1409.TW,新纖,04
1410.TW,南染,04
1413.TW,宏洲,04
1414.TW,東和,04
1416.TW,廣豐,20
1417.TW,嘉裕,04
1418.TW,東華,04
1419.TW,新紡,04
1423.TW,利華,04
1432.TW,大魯閣,37
1434.TW,福懋,04
1435.TW,中福,20
1436.TW,華友聯,14
1437.TW,勤益控,20
1438.TW,三地開發,14
1439.TW,雋揚,14
1440.TW,南紡,04
1441.TW,大東,04
1442.TW,名軒,14
1443.TW,立益物流,20
1444.TW,力麗,04
1445.TW,大宇,04
1446.TW,宏和,04
1447.TW,力鵬,04
1449.TW,佳和,04
1451.TW,年興,04
1452.TW,宏益,04
1453.TW,大將,14
1454.TW,台富,04
1455.TW,集盛,04
1456.TW,怡華,14
1457.TW,宜進,04
1459.TW,聯發,04
1460.TW,宏遠,04
1463.TW,強盛新,04
1464.TW,得力,04
1465.TW,偉全,04
1466.TW,聚隆,04
1467.TW,南緯,04
1468.TW,昶和,04
1470.TW,大統新創,04
1471.TW,首利,28
1472.TW,三洋實業,14
1473.TW,台南,04
1474.TW,弘裕,04
1475.TW,業旺,04
1476.TW,儒鴻,04
1477.TW,聚陽,04
1503.TW,士電,05
1504.TW,東元,05
1506.TW,正道,05
1512.TW,瑞利,12
1513.TW,中興電,05
1514.TW,亞力,05
1515.TW,力山,05
1516.TW,川飛,20
1517.TW,利奇,05
1519.TW,華城,05
1521.TW,大億,12
1522.TW,堤維西,12
1524.TW,耿鼎,12
1525.TW,江申,12
1526.TW,日馳,05
1527.TW,鑽全,05
1528.TW,恩德,05
1529.TW,樂事綠能,05
1530.TW,亞崴,05
1531.TW,高林股,05
1532.TW,勤美,05
1533.TW,車王電,12
1535.TW,中宇,05
1536.TW,和大,12
1537.TW,廣隆,05
1538.TW,正峰,05
1539.TW,巨庭,05
1540.TW,喬福,05
1541.TW,錩泰,05
1558.TW,伸興,05
1560.TW,中砂,05
1563.TW,巧新,12
1568.TW,倉佑,12
1582.TW,信錦,28
1583.TW,程泰,05
1587.TW,吉茂,12
1589.TW,永冠-KY,05
1590.TW,亞德客-KY,05
1597.TW,直得,05
1598.TW,岱宇,37
1603.TW,華電,06
1604.TW,聲寶,06
1605.TW,華新,06
1608.TW,華榮,06
1609.TW,大亞,06
1611.TW,中電,06
1612.TW,宏泰,06
1614.TW,三洋電,06
1615.TW,大山,06
1616.TW,億泰,06
1617.TW,榮星,06
1618.TW,合機,06
1623.TW,大東電,06
1626.TW,艾美特-KY,06
1702.TW,南僑,02
1707.TW,葡萄王,22
1708.TW,東鹼,21
1709.TW,和益,21
1710.TW,東聯,21
1711.TW,永光,21
1712.TW,興農,21
1713.TW,國化,21
1714.TW,和桐,21
1717.TW,長興,21
1718.TW,中纖,21
1720.TW,生達,22
1721.TW,三晃,21
1722.TW,台肥,21
1723.TW,中碳,21
1725.TW,元禎,21
1726.TW,永記,21
1727.TW,中華化,21
1730.TW,花仙子,21
1731.TW,美吾華,22
1732.TW,毛寶,21
1733.TW,五鼎,22
1734.TW,杏輝,22
1735.TW,日勝化,21
1736.TW,喬山,37
1737.TW,臺鹽,02
1752.TW,南光,22
1760.TW,寶齡富錦,22
1762.TW,中化生,22
1773.TW,勝一,21
1776.TW,展宇,21
1783.TW,和康生,22
1786.TW,科妍,22
1789.TW,神隆,22
1795.TW,美時,22
1802.TW,台玻,08
1805.TW,寶徠,14
1806.TW,冠軍,08
1808.TW,潤隆,14
1809.TW,中釉,08
1810.TW,和成,08
1817.TW,凱撒衛,08
1903.TW,士紙,09
1904.TW,正隆,09
1905.TW,華紙,09
1906.TW,寶隆,09
1907.TW,永豐餘,09
1909.TW,榮成,09
2002.TW,中鋼,10
2006.TW,東和鋼鐵,10
2007.TW,燁興,10
2008.TW,高興昌,10
2009.TW,第一銅,10
2010.TW,春源,10
2012.TW,春雨,10
2013.TW,中鋼構,10
2014.TW,中鴻,10
2015.TW,豐興,10
2017.TW,官田鋼,10
2020.TW,美亞,10
2022.TW,聚亨,10
2023.TW,燁輝,10
2024.TW,志聯,10
2025.TW,千興,10
2027.TW,大成鋼,10
2028.TW,威致,10
2029.TW,盛餘,10
2030.TW,彰源,10
2031.TW,新光鋼,10
2032.TW,新鋼,10
2033.TW,佳大,10
2034.TW,允強,10
2038.TW,海光,10
2049.TW,上銀,05
2059.TW,川湖,28
2062.TW,橋椿,38
2069.TW,運錩,10
2072.TW,世紀風電,35
2101.TW,南港,11
2102.TW,泰豐,11
2103.TW,台橡,11
2104.TW,國際中橡,11
2105.TW,正新,11
2106.TW,建大,11
2107.TW,厚生,11
2108.TW,南帝,11
2109.TW,華豐,11
2114.TW,鑫永銓,11
2115.TW,六暉-KY,12
2201.TW,裕隆,12
2204.TW,中華,12
2206.TW,三陽工業,12
2207.TW,和泰車,12
2208.TW,台船,15
2211.TW,長榮鋼,10
2227.TW,裕日車,12
2228.TW,劍麟,12
2231.TW,為升,12
2233.TW,宇隆,12
2236.TW,百達-KY,12
2237.TW,華德動能-創,12
2239.TW,英利-KY,12
2241.TW,艾姆勒,12
2243.TW,宏旭-KY,12
2247.TW,汎德永業,12
2248.TW,華勝-KY,12
2250.TW,IKKA-KY,12
2254.TW,巨鎧精密-創,12
2258.TW,鴻華先進-創,12
2301.TW,光寶科,25
2302.TW,麗正,24
2303.TW,聯電,24
2305.TW,全友,25
2308.TW,台達電,28
2312.TW,金寶,31
2313.TW,華通,28
2314.TW,台揚,27
2316.TW,楠梓電,28
2317.TW,鴻海,31
2321.TW,東訊,27
2323.TW,中環,26
2324.TW,仁寶,25
2327.TW,國巨*,28
2328.TW,廣宇,28
2329.TW,華泰,24
2330.TW,台積電,24
2331.TW,精英,25
2332.TW,友訊,27
2337.TW,旺宏,24
2338.TW,光罩,24
2340.TW,台亞,24
2342.TW,茂矽,24
2344.TW,華邦電,24
2345.TW,智邦,27
2347.TW,聯強,29
2348.TW,海悅,20
2349.TW,錸德,26
2351.TW,順德,24
2352.TW,佳世達,25
2353.TW,宏碁,25
2354.TW,鴻準,31
2355.TW,敬鵬,28
2356.TW,英業達,25
2357.TW,華碩,25
2359.TW,所羅門,31
2360.TW,致茂,31
2362.TW,藍天,25
2363.TW,矽統,24
2364.TW,倫飛,25
2365.TW,昆盈,25
2367.TW,燿華,28
2368.TW,金像電,28
2369.TW,菱生,24
2371.TW,大同,05
2373.TW,震旦行,31
2374.TW,佳能,26
2375.TW,凱美,28
2376.TW,技嘉,25
2377.TW,微星,25
2379.TW,瑞昱,24
2380.TW,虹光,25
2382.TW,廣達,25
2383.TW,台光電,28
2385.TW,群光,28
2387.TW,精元,25
2388.TW,威盛,24
